date,title,symptom_tags,text,recommended_action,risk_tags
2024-03-14,BPM cable intermittent noise,bpm noise;cable;off axis,BPM x readout alternated between two offsets while screen stayed centered. Cable reseat fixed the issue,Do not steer based only on noisy BPM readings,bpm_noise;steering_saturation
2016-04-11,Charge monitor drift after source cleaning,charge;readback;halo,Charge proxy drifted high after source cleaning and caused halo alerts that did not match screen intensity,Verify charge calibration before reducing beam current,calibration_required;charge_risk
2023-07-03,RF phase correction recovered current,rf phase;current;readback,A small RF phase correction improved current after readback drift. Larger phase moves created energy jitter,Apply only small RF phase correction after readback verification,rf_phase_check
2021-09-26,Steer_y correction clipped screen,steer_y;clipped;screen,A steer_y correction moved the beam toward the screen edge and clipped the image. Operators reduced the step and recentered,Require review for steering move when screen is already near edge,steering_saturation;screen_issue
2020-02-17,Slow thermal drift in RF cavity,temperature;rf phase;drift,Rising temperature changed RF phase response over the first hour of operations,Wait for thermal settling or request calibration if uncertainty is elevated,rf_phase_check;model_drift
2017-08-08,Quad_1 scan showed astigmatism,quad_1;astigmatic;beam size,Quad_1 scan improved x size but worsened y size causing astigmatic beam,Use coupled quad scan and avoid single large quad_1 correction,quad_conflict
2025-01-19,Screen halo from optical background,halo;screen;camera,Camera background created false halo on a low current beam. Background subtraction fixed the label,Repeat screen with background subtraction before blocking on halo alone,screen_issue;calibration_required
2024-09-04,Loss monitor spike after RF amplitude raise,rf amplitude;beam loss;readback,RF amplitude raise improved predicted quality but loss monitor spiked. Readback was slow by several seconds,Require readback stability before RF amplitude increase,rf_amplitude_check;beam_loss
2023-11-29,Corrector trim helped after BPM verification,steering;bpm;off axis,A small steer_x trim recovered centered beam after both BPMs and screen agreed,Approve small steering trim only when diagnostics agree,steering_saturation
2019-12-13,Model stale after optics file update,model drift;quad_1;quad_2,Optics file update changed transfer matrix signs for one quadrupole and the model confidence was misleading,Request model verification and calibration before using optimizer output,calibration_required;model_drift
2022-08-16,Low charge made image diffuse,low charge;diffuse beam;screen,Low charge created a noisy diffuse-looking image while BPMs were stable,Check charge and repeat screen before quad correction,charge_risk;screen_issue
2018-01-07,RF amplitude rollback restored beam,rf amplitude;current;beam loss,Beam loss rose after RF amplitude increase. Rolling back amplitude and checking phase restored beam,Do not chase loss with more RF amplitude,rf_amplitude_check;beam_loss
2020-11-21,Quad_2 hysteresis after polarity change,quad_2;hysteresis;halo,Polarity change on quad_2 left residual hysteresis. Increasing quad_2 worsened halo until cycling procedure was used,Run magnet cycling procedure before further quad_2 increase,quad_conflict;hysteresis;halo
2025-02-11,BPM y offset due electronics,bpm noise;electronics;steer_y,BPM y offset was caused by electronics drift. Steering to the false readback clipped the screen,Request human review when BPM noise conflicts with screen centroid,bpm_noise;screen_issue
2021-06-05,Calibration screen revealed larger beam size,calibration;beam size;uncertainty,The twin predicted a compact spot but calibration screen showed larger x size. Smaller steps were approved afterward,Use calibration measurement to reduce local OOD risk before allowing small correction,calibration_required;model_drift
2016-10-29,Source warmup caused slow current rise,warmup;charge;current,Current rose slowly during source warmup and halo disappeared after stabilization,Wait for warmup stabilization before aggressive focusing,charge_risk;model_drift
2024-05-22,Steer_x saturation during recovery,steer_x;saturation;off axis,Steer_x was near limit and additional correction barely moved BPM x. Operators changed upstream steering instead,Block or review large steer_x increase near saturation,steering_saturation
2017-03-31,RF readback stuck after interlock,rf phase;readback;interlock,After interlock RF readback stuck briefly while command changed. Model prediction was invalid during the mismatch,Wait for readback agreement before trusting virtual diagnostic,rf_phase_check;calibration_required
2019-04-27,Quad pair mismatch caused emittance growth,quad_1;quad_2;emittance,Large unbalanced quad move improved centroid but increased emittance proxy,Use balanced smaller quad steps and request review for large single-quadrupole moves,quad_conflict
2022-12-18,Clipped screen hid halo,clipped;halo;screen,Beam was clipped at screen edge and halo estimate was unreliable. Recentered screen showed true diffuse profile,Recentering or calibration required before action based on clipped image,screen_issue;calibration_required
2018-05-24,Charge spike after laser timing change,charge;halo;timing,Laser timing change produced a charge spike and halo. Quad correction did not fix it,Check charge source before quadrupole focusing,charge_risk;halo
2020-07-09,RF phase small correction approved,rf phase;readback;current,With low uncertainty and verified readback a small RF phase correction improved beam current,Approve small RF phase correction when model is green and readback is stable,rf_phase_check
2023-02-25,Model OOD near high temperature,temperature;ood;uncertainty,High cavity temperature pushed safe signals outside the model envelope,Request calibration or wait for thermal recovery,calibration_required;model_drift
2025-03-06,OTR image showed astigmatic halo,astigmatic;halo;screen,Image moments showed astigmatic halo after a quad_2 increase. Operators backed out the move,Require review for quad_2 increase when astigmatic halo is present,quad_conflict;halo
2021-01-16,BPM agreement allowed small trim,bpm;steering;centered,Both BPMs agreed with centered screen and a small steer_y trim was approved,Allow small trim if trust is green and screen is centered,steering_saturation
2016-07-02,Vacuum recovery required conservative steps,vacuum;beam loss;quad_1,After vacuum recovery operators limited quad changes to small approved steps,Require human review for larger optics moves after vacuum event,hardware_warning;beam_loss
2018-11-11,Screen gain issue mimicked low charge,screen;charge;camera,Screen gain issue made beam look weak while charge proxy was normal,Calibrate camera gain before changing source settings,screen_issue;calibration_required
2024-07-30,RF amplitude and phase coupled drift,rf amplitude;rf phase;drift,Amplitude and phase drifted together after cavity work. Single-knob correction was unreliable,Take calibration and verify both RF readbacks before optimizer action,rf_phase_check;rf_amplitude_check;calibration_required
2019-10-06,Quad_1 safe small step,quad_1;centered;green,Model was green and screen centered. A small quad_1 change improved beam size with no loss,Approve small green-envelope quad_1 changes,none
2020-03-19,Diffuse beam from temperature drift,diffuse beam;temperature;model drift,Diffuse spot appeared while temperature rose and model uncertainty increased. Calibration showed changed optimum,Request calibration rather than large optics move,calibration_required;model_drift
2023-09-12,Steering correction after noisy BPM rejected,bpm noise;steer_x;off axis,An optimizer proposed steer_x based on noisy BPM x. Screen did not confirm the offset,Require human review before steering on noisy BPM-only evidence,bpm_noise;steering_saturation
2025-04-01,Calibration recovery approved small RF step,calibration;rf phase;recovery,After calibration screen the local OOD risk dropped and a smaller RF phase correction was approved,Apply clipped RF correction and continue monitoring,rf_phase_check
2022-06-07,Halo improved after RF check not quad increase,halo;rf phase;quad_2,Halo state resembled quad_2 mismatch but RF phase readback was the root cause. Increasing quad_2 first worsened loss,Check RF phase and avoid quad_2 increase until calibration confirms optics,quad_conflict;rf_phase_check;halo
